year,iso_i,iso_j,exports,imports,dist,distw,distcap,distwces,cont,lang,ccol,crel,rta,gdp_i,gdp_pcap_i,gdp_j,gdp_pcap_j
2019,GTM,BHS,6064715,533,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,77020015201.3201,4638.63494319511,13164400000,33799.4176940891
2020,GTM,BHS,5054382,9555011,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,77604632170.5853,4603.33961670975,9907500000,25194.0251444381
1995,GTM,BLZ,3912380,1009420,341.203,397.851,341.203,382.899,1,1,0,0.634,0,14655404433.2771,1424.68254256258,620422500,2997.76045844165
1996,GTM,BLZ,6292165,453818,341.203,397.851,341.203,382.899,1,1,0,0.634,0,15674835615.3139,1487.60765839974,641660000,3003.18262660301
1997,GTM,BLZ,6877385,1984367,341.203,397.851,341.203,382.899,1,1,0,0.634,0,17790026221.6139,1649.00160206099,654582900,2954.22723682726
1998,GTM,BLZ,7187896,963198,341.203,397.851,341.203,382.899,1,1,0,0.634,0,19395491992.9939,1755.84958223191,689140000,2993.0335985546
1999,GTM,BLZ,10863830,603057,341.203,397.851,341.203,382.899,1,1,0,0.634,0,18318412251.3642,1619.51073552531,732732350,3066.09513806652
2000,GTM,BLZ,12977383,1227535,341.203,397.851,341.203,382.899,1,1,0,0.634,0,19288827158.9035,1664.29895827045,832072450,3364.49173102584
2001,GTM,BLZ,13763489,2393941,341.203,397.851,341.203,382.899,1,1,0,0.634,0,18405203853.1036,1550.36036555447,868358750,3404.42058588298
2002,GTM,BLZ,19493980,813360,341.203,397.851,341.203,382.899,1,1,0,0.634,0,20444205991.025,1682.99450068936,925197950,3526.08151318472
2003,GTM,BLZ,29497772,29864946,341.203,397.851,341.203,382.899,1,1,0,0.634,0,21576351798.9145,1737.87928692973,983575600,3650.60647000312
2004,GTM,BLZ,35096523,6647232,341.203,397.851,341.203,382.899,1,1,0,0.634,0,23577286226.6407,1859.098363351,1051386600,3802.2631601788
2005,GTM,BLZ,39046389,1721691,341.203,397.851,341.203,382.899,1,1,0,0.634,0,26783543667.064,2068.50012859333,1102564900,3885.03407353117
2006,GTM,BLZ,37815018,2823744,341.203,397.851,341.203,382.899,1,1,0,0.634,0,29744368110.9094,2251.08796275499,1210603750,4155.32388497209
2007,GTM,BLZ,50899777,2150714,341.203,397.851,341.203,382.899,1,1,0,0.634,0,33567868322.6252,2490.74912665208,1271598050,4252.39540382101
2008,GTM,BLZ,57920518,2722867,341.203,397.851,341.203,382.899,1,1,0,0.634,0,38503862830.6878,2802.46196190125,1351338650,4404.30819823872
2009,GTM,BLZ,48130387,6677886,341.203,397.851,341.203,382.899,1,1,0,0.634,0,37125943564.9873,2651.81712283814,1317309450,4186.51999809315
